id,type,name,description,url
ZIG-PIL-1,zig_pillar,User Pillar,ZIG User Pillar,
ZIG-PIL-2,zig_pillar,Device Pillar,ZIG Device Pillar,
ZIG-PIL-3,zig_pillar,Application and Workload Pillar,ZIG Application and Workload Pillar,
ZIG-PIL-4,zig_pillar,Data Pillar,ZIG Data Pillar,
ZIG-PIL-5,zig_pillar,Network and Environment Pillar,ZIG Network and Environment Pillar,
ZIG-PIL-6,zig_pillar,Automation and Orchestration Pillar,ZIG Automation and Orchestration Pillar,
ZIG-PIL-7,zig_pillar,Visibility and Analytics Pillar,ZIG Visibility and Analytics Pillar,
ZIG-CAP-1.1,zig_capability,User Inventory,ZIG Capability 1.1,
ZIG-CAP-2.1,zig_capability,Device Inventory,ZIG Capability 2.1,
ZIG-CAP-2.3,zig_capability,Device Authorization with Real-Time Inspection,ZIG Capability 2.3,
ZIG-CAP-3.1,zig_capability,Application Inventory,ZIG Capability 3.1,
ZIG-CAP-4.1,zig_capability,Data Catalog Risk Alignment,ZIG Capability 4.1,
ZIG-CAP-4.4,zig_capability,Data Monitoring and Sensing,ZIG Capability 4.4,
ZIG-CAP-5.1,zig_capability,Data Flow Mapping,ZIG Capability 5.1,
ZIG-CAP-5.2,zig_capability,Software-Defined Networking (SDN),ZIG Capability 5.2,
ZIG-CAP-6.1,zig_capability,Policy Decision Point (PDP) and Policy Orchestration,ZIG Capability 6.1,
ZIG-CAP-6.2,zig_capability,Critical Process Automation,ZIG Capability 6.2,
ZIG-CAP-6.5,zig_capability,"Security Orchestration, Automation, and Response (SOAR)",ZIG Capability 6.5,
ZIG-CAP-6.6,zig_capability,Application Programming Interface (API) Standardization,ZIG Capability 6.6,
ZIG-CAP-7.1,zig_capability,"Log All Traffic (Network, Data, Apps, Users)",ZIG Capability 7.1,
ZIG-CAP-1.3,zig_capability,Multi-Factor Authentication (MFA),ZIG Capability 1.3,
ZIG-CAP-1.4,zig_capability,Privileged Access Management (PAM),ZIG Capability 1.4,
ZIG-CAP-1.5,zig_capability,Identity Federation and User Credentialing,ZIG Capability 1.5,
ZIG-CAP-1.7,zig_capability,Least Privileged Access,ZIG Capability 1.7,
ZIG-CAP-1.8,zig_capability,Continuous Authentication,ZIG Capability 1.8,
ZIG-CAP-2.4,zig_capability,Remote Access,ZIG Capability 2.4,
ZIG-CAP-2.5,zig_capability,"Partially and Fully Automated Asset, Vulnerability, and Patch",ZIG Capability 2.5,
ZIG-CAP-2.6,zig_capability,Unified Endpoint Management (UEM) and Mobile Device Management,ZIG Capability 2.6,
